期权代码,期权名称,最新价,涨跌幅,行权价,折溢价率,标的名称,标的最新价,标的涨跌幅,盈亏平衡价,到期日
10009858,科创板50购12月1500,0.104,24.11,1.5,7.29,科创板50ETF,1.495,3.68,1.604,2025-12-24
10009805,科创板50购12月1400,0.1465,24.05,1.4,3.44,科创板50ETF,1.495,3.68,1.547,2025-12-24
10009677,500ETF购3月7250,0.416,23.88,7.25,3.15,中证500ETF,7.432,2.13,7.666,2026-03-25
10009747,500ETF购3月7500,0.3222,23.88,7.5,5.25,中证500ETF,7.432,2.13,7.822,2026-03-25
10009913,300ETF购10月4700,0.0717,23.41,4.7,2.33,沪深300ETF,4.663,0.89,4.772,2025-10-22
10010013,500ETF购3月8250,0.1506,23.34,8.25,13.03,中证500ETF,7.432,2.13,8.401,2026-03-25
10009946,科创50购10月1300,0.219,23.31,1.3,-0.72,科创50ETF,1.53,3.73,1.519,2025-10-22
10009989,科创50购12月1600,0.0858,23.28,1.6,10.18,科创50ETF,1.53,3.73,1.686,2025-12-24
10009771,500ETF购3月7750,0.25,23.09,7.75,7.64,中证500ETF,7.432,2.13,8.0,2026-03-25
10009775,科创板50购12月1350,0.1732,22.66,1.35,1.89,科创板50ETF,1.495,3.68,1.523,2025-12-24
10009842,科创50购12月1500,0.1203,22.51,1.5,5.9,科创50ETF,1.53,3.73,1.62,2025-12-24
10009990,科创50购12月1650,0.0719,22.49,1.65,12.54,科创50ETF,1.53,3.73,1.722,2025-12-24
10010005,科创板50购3月1600,0.1091,22.31,1.6,14.32,科创板50ETF,1.495,3.68,1.709,2026-03-25
10009676,500ETF购3月7000,0.5266,22.24,7.0,1.27,中证500ETF,7.432,2.13,7.527,2026-03-25
10009877,科创50购12月1550,0.1013,22.05,1.55,7.93,科创50ETF,1.53,3.73,1.651,2025-12-24
10009887,科创板50购3月1550,0.1237,21.63,1.55,11.95,科创板50ETF,1.495,3.68,1.674,2026-03-25
10009912,300ETF购10月4600,0.1216,21.6,4.6,1.26,沪深300ETF,4.663,0.89,4.722,2025-10-22
10009841,科创50购12月1450,0.142,21.37,1.45,4.05,科创50ETF,1.53,3.73,1.592,2025-12-24
10009994,科创50购3月1650,0.1047,20.9,1.65,14.69,科创50ETF,1.53,3.73,1.755,2026-03-25
