期权代码,期权名称,最新价,涨跌幅,行权价,折溢价率,标的名称,标的最新价,标的涨跌幅,盈亏平衡价,到期日
10009653,300ETF购3月4000,0.6609,3.92,4.0,-0.05,沪深300ETF,4.663,0.89,4.661,2026-03-25
10009791,50ETF购3月3400,0.0726,3.86,3.4,13.04,上证50ETF,3.072,0.59,3.473,2026-03-25
10009459,300ETF购9月3900,0.7483,3.64,3.9,-0.32,沪深300ETF,4.663,0.89,4.648,2025-09-24
10009636,50ETF购3月2850,0.3055,3.45,2.85,2.72,上证50ETF,3.072,0.59,3.156,2026-03-25
10008797,50ETF购9月2600,0.4692,3.35,2.6,-0.09,上证50ETF,3.072,0.59,3.069,2025-09-24
10009896,50ETF购10月3400,0.0062,3.33,3.4,10.88,上证50ETF,3.072,0.59,3.406,2025-10-22
10009652,300ETF购3月3900,0.7456,3.27,3.9,-0.37,沪深300ETF,4.663,0.89,4.646,2026-03-25
10008814,300ETF购9月3716A,0.935,3.2,3.716,-0.26,沪深300ETF,4.663,0.89,4.651,2025-09-24
10009163,50ETF购9月2350,0.7256,3.07,2.35,0.12,上证50ETF,3.072,0.59,3.076,2025-09-24
10009475,300ETF购12月3700,0.9499,3.03,3.7,-0.28,沪深300ETF,4.663,0.89,4.65,2025-12-24
10009710,科创板50购3月1100,0.3523,3.01,1.1,-2.86,科创板50ETF,1.495,3.68,1.452,2026-03-25
10009476,300ETF购12月3800,0.8467,3.0,3.8,-0.35,沪深300ETF,4.663,0.89,4.647,2025-12-24
10009455,300ETF购9月3500,1.1556,2.99,3.5,-0.16,沪深300ETF,4.663,0.89,4.656,2025-09-24
10009275,科创50购12月1050,0.4375,2.94,1.05,-2.78,科创50ETF,1.53,3.73,1.488,2025-12-24
10009217,50ETF购12月2500,0.5837,2.89,2.5,0.38,上证50ETF,3.072,0.59,3.084,2025-12-24
10009239,300ETF购12月3814A,0.8304,2.77,3.814,-0.4,沪深300ETF,4.663,0.89,4.644,2025-12-24
10009651,300ETF购3月3800,0.8447,2.76,3.8,-0.39,沪深300ETF,4.663,0.89,4.645,2026-03-25
10009457,300ETF购9月3700,0.9473,2.74,3.7,-0.34,沪深300ETF,4.663,0.89,4.647,2025-09-24
10009456,300ETF购9月3600,1.0499,2.73,3.6,-0.28,沪深300ETF,4.663,0.89,4.65,2025-09-24
10009259,500ETF购12月6250,1.0546,2.69,6.25,-1.71,中证500ETF,7.432,2.13,7.305,2025-12-24
10009482,300ETF沽12月3500,0.0039,2.63,3.5,25.02,沪深300ETF,4.663,0.89,3.496,2025-12-24
10008815,300ETF购9月3814A,0.8292,2.62,3.814,-0.42,沪深300ETF,4.663,0.89,4.643,2025-09-24
10009458,300ETF购9月3800,0.8433,2.59,3.8,-0.42,沪深300ETF,4.663,0.89,4.643,2025-09-24
10009219,50ETF购12月2600,0.4834,2.42,2.6,0.37,上证50ETF,3.072,0.59,3.083,2025-12-24
10008812,300ETF购9月3520A,1.1286,2.41,3.52,-0.31,沪深300ETF,4.663,0.89,4.649,2025-09-24
10008795,50ETF购9月2500,0.5671,2.36,2.5,-0.16,上证50ETF,3.072,0.59,3.067,2025-09-24
10008811,300ETF购9月3423A,1.2266,2.3,3.423,-0.29,沪深300ETF,4.663,0.89,4.65,2025-09-24
10008796,50ETF购9月2550,0.5148,2.14,2.55,-0.23,上证50ETF,3.072,0.59,3.065,2025-09-24
10009274,科创50购12月1000,0.4849,2.08,1.0,-2.95,科创50ETF,1.53,3.73,1.485,2025-12-24
10008813,300ETF购9月3618A,1.0237,1.96,3.618,-0.46,沪深300ETF,4.663,0.89,4.642,2025-09-24
10009692,科创50购3月1100,0.3816,1.76,1.1,-3.16,科创50ETF,1.53,3.73,1.482,2026-03-25
10008794,50ETF购9月2450,0.6146,1.75,2.45,-0.24,上证50ETF,3.072,0.59,3.065,2025-09-24
10008793,50ETF购9月2400,0.6647,1.64,2.4,-0.24,上证50ETF,3.072,0.59,3.065,2025-09-24
10009226,50ETF沽12月2500,0.0063,1.61,2.5,18.82,上证50ETF,3.072,0.59,2.494,2025-12-24
10009237,300ETF购12月3618A,1.0201,1.6,3.618,-0.53,沪深300ETF,4.663,0.89,4.638,2025-12-24
10009293,科创板50购12月1050,0.3981,1.56,1.05,-3.14,科创板50ETF,1.495,3.68,1.448,2025-12-24
10009291,科创板50购12月950,0.4985,1.32,0.95,-3.11,科创板50ETF,1.495,3.68,1.449,2025-12-24
10009755,300ETF购3月3700,0.9334,1.24,3.7,-0.63,沪深300ETF,4.663,0.89,4.633,2026-03-25
10009179,300ETF购9月3227A,1.41,1.08,3.227,-0.56,沪深300ETF,4.663,0.89,4.637,2025-09-24
10009180,300ETF购9月3325A,1.31,1.0,3.325,-0.6,沪深300ETF,4.663,0.89,4.635,2025-09-24
10009292,科创板50购12月1000,0.4455,0.79,1.0,-3.31,科创板50ETF,1.495,3.68,1.446,2025-12-24
10009271,科创50购12月850,0.6297,0.75,0.85,-3.29,科创50ETF,1.53,3.73,1.48,2025-12-24
10009273,科创50购12月950,0.5289,0.74,0.95,-3.34,科创50ETF,1.53,3.73,1.479,2025-12-24
10009236,300ETF购12月3520A,1.11,0.73,3.52,-0.71,沪深300ETF,4.663,0.89,4.63,2025-12-24
10009321,科创50购12月800,0.6799,0.73,0.8,-3.27,科创50ETF,1.53,3.73,1.48,2025-12-24
10009473,300ETF购12月3500,1.1294,0.66,3.5,-0.72,沪深300ETF,4.663,0.89,4.629,2025-12-24
10009258,500ETF购12月6000,1.2834,0.5,6.0,-2.0,中证500ETF,7.432,2.13,7.283,2025-12-24
10009272,科创50购12月900,0.5765,0.26,0.9,-3.5,科创50ETF,1.53,3.73,1.477,2025-12-24
10009691,科创50购3月1050,0.426,0.24,1.05,-3.53,科创50ETF,1.53,3.73,1.476,2026-03-25
10009290,科创板50购12月900,0.543,0.18,0.9,-3.48,科创板50ETF,1.495,3.68,1.443,2025-12-24
10008876,科创板50沽9月900,0.0001,0.0,0.9,39.81,科创板50ETF,1.495,3.68,0.9,2025-09-24
10009466,300ETF沽9月3700,0.0001,0.0,3.7,20.65,沪深300ETF,4.663,0.89,3.7,2025-09-24
10008877,科创板50沽9月950,0.0001,0.0,0.95,36.46,科创板50ETF,1.495,3.68,0.95,2025-09-24
10008838,500ETF沽9月4800,0.0001,0.0,4.8,35.42,中证500ETF,7.432,2.13,4.8,2025-09-24
10009194,500ETF沽9月4700,0.0001,0.0,4.7,36.76,中证500ETF,7.432,2.13,4.7,2025-09-24
10008859,科创50沽9月1000,0.0001,0.0,1.0,34.65,科创50ETF,1.53,3.73,1.0,2025-09-24
10008858,科创50沽9月950,0.0001,0.0,0.95,37.92,科创50ETF,1.53,3.73,0.95,2025-09-24
10008823,300ETF沽9月3716A,0.0001,0.0,3.716,20.31,沪深300ETF,4.663,0.89,3.716,2025-09-24
10008882,科创板50沽9月1200,0.0001,0.0,1.2,19.74,科创板50ETF,1.495,3.68,1.2,2025-09-24
10008803,50ETF沽9月2450,0.0001,0.0,2.45,20.25,上证50ETF,3.072,0.59,2.45,2025-09-24
10009299,科创板50沽12月900,0.0055,0.0,0.9,40.17,科创板50ETF,1.495,3.68,0.895,2025-12-24
10008857,科创50沽9月900,0.0001,0.0,0.9,41.18,科创50ETF,1.53,3.73,0.9,2025-09-24
10008875,科创板50沽9月850,0.0001,0.0,0.85,43.15,科创板50ETF,1.495,3.68,0.85,2025-09-24
10008856,科创50沽9月850,0.0001,0.0,0.85,44.45,科创50ETF,1.53,3.73,0.85,2025-09-24
10008874,科创板50沽9月800,0.0001,0.0,0.8,46.49,科创板50ETF,1.495,3.68,0.8,2025-09-24
10009981,科创50购9月1600,0.0001,0.0,1.6,4.58,科创50ETF,1.53,3.73,1.6,2025-09-24
10009216,科创板50沽9月750,0.0001,0.0,0.75,49.84,科创板50ETF,1.495,3.68,0.75,2025-09-24
10008884,科创50沽9月800,0.0001,0.0,0.8,47.72,科创50ETF,1.53,3.73,0.8,2025-09-24
10009322,科创50沽12月800,0.0015,0.0,0.8,47.81,科创50ETF,1.53,3.73,0.799,2025-12-24
10008839,500ETF沽9月4900,0.0001,0.0,4.9,34.07,中证500ETF,7.432,2.13,4.9,2025-09-24
10008860,科创50沽9月1050,0.0001,0.0,1.05,31.38,科创50ETF,1.53,3.73,1.05,2025-09-24
10008878,科创板50沽9月1000,0.0001,0.0,1.0,33.12,科创板50ETF,1.495,3.68,1.0,2025-09-24
10008863,科创50沽9月1200,0.0001,0.0,1.2,21.58,科创50ETF,1.53,3.73,1.2,2025-09-24
10009464,300ETF沽9月3500,0.0001,0.0,3.5,24.94,沪深300ETF,4.663,0.89,3.5,2025-09-24
10008862,科创50沽9月1150,0.0001,0.0,1.15,24.84,科创50ETF,1.53,3.73,1.15,2025-09-24
10009245,300ETF沽12月3520A,0.004,0.0,3.52,24.6,沪深300ETF,4.663,0.89,3.516,2025-12-24
10008842,500ETF沽9月5500,0.0001,0.0,5.5,26.0,中证500ETF,7.432,2.13,5.5,2025-09-24
10009634,50ETF购3月2750,0.368,0.0,2.75,1.5,上证50ETF,3.072,0.59,3.118,2026-03-25
10009164,50ETF沽9月2350,0.0001,0.0,2.35,23.51,上证50ETF,3.072,0.59,2.35,2025-09-24
10008880,科创板50沽9月1100,0.0001,0.0,1.1,26.43,科创板50ETF,1.495,3.68,1.1,2025-09-24
10008820,300ETF沽9月3423A,0.0001,0.0,3.423,26.59,沪深300ETF,4.663,0.89,3.423,2025-09-24
10008881,科创板50沽9月1150,0.0001,0.0,1.15,23.08,科创板50ETF,1.495,3.68,1.15,2025-09-24
10008861,科创50沽9月1100,0.0001,0.0,1.1,28.11,科创50ETF,1.53,3.73,1.1,2025-09-24
10009182,300ETF沽9月3325A,0.0001,0.0,3.325,28.7,沪深300ETF,4.663,0.89,3.325,2025-09-24
10008841,500ETF沽9月5250,0.0001,0.0,5.25,29.36,中证500ETF,7.432,2.13,5.25,2025-09-24
10009465,300ETF沽9月3600,0.0001,0.0,3.6,22.8,沪深300ETF,4.663,0.89,3.6,2025-09-24
10008879,科创板50沽9月1050,0.0001,0.0,1.05,29.77,科创板50ETF,1.495,3.68,1.05,2025-09-24
10008843,500ETF沽9月5750,0.0001,0.0,5.75,22.63,中证500ETF,7.432,2.13,5.75,2025-09-24
10008822,300ETF沽9月3618A,0.0001,0.0,3.618,22.41,沪深300ETF,4.663,0.89,3.618,2025-09-24
10009181,300ETF沽9月3227A,0.0001,0.0,3.227,30.8,沪深300ETF,4.663,0.89,3.227,2025-09-24
10008802,50ETF沽9月2400,0.0001,0.0,2.4,21.88,上证50ETF,3.072,0.59,2.4,2025-09-24
10008840,500ETF沽9月5000,0.0001,0.0,5.0,32.72,中证500ETF,7.432,2.13,5.0,2025-09-24
10008844,500ETF沽9月6000,0.0001,0.0,6.0,19.27,中证500ETF,7.432,2.13,6.0,2025-09-24
10009206,科创50沽9月750,0.0001,0.0,0.75,50.99,科创50ETF,1.53,3.73,0.75,2025-09-24
10008886,50ETF沽9月2850,0.0001,0.0,2.85,7.23,上证50ETF,3.072,0.59,2.85,2025-09-24
10009472,300ETF沽9月4300,0.0001,0.0,4.3,7.79,沪深300ETF,4.663,0.89,4.3,2025-09-24
10008809,50ETF沽9月2750,0.0001,0.0,2.75,10.49,上证50ETF,3.072,0.59,2.75,2025-09-24
10009471,300ETF沽9月4200,0.0001,0.0,4.2,9.93,沪深300ETF,4.663,0.89,4.2,2025-09-24
10009469,300ETF沽9月4000,0.0001,0.0,4.0,14.22,沪深300ETF,4.663,0.89,4.0,2025-09-24
10010039,科创板50购9月1650,0.0001,0.0,1.65,10.37,科创板50ETF,1.495,3.68,1.65,2025-09-24
10009982,科创50购9月1650,0.0001,0.0,1.65,7.85,科创50ETF,1.53,3.73,1.65,2025-09-24
10008805,50ETF沽9月2550,0.0001,0.0,2.55,17.0,上证50ETF,3.072,0.59,2.55,2025-09-24
10008827,300ETF沽9月4107A,0.0001,0.0,4.107,11.93,沪深300ETF,4.663,0.89,4.107,2025-09-24
10008892,300ETF沽9月4303A,0.0001,0.0,4.303,7.72,沪深300ETF,4.663,0.89,4.303,2025-09-24
10009502,300ETF沽9月4400,0.0001,0.0,4.4,5.64,沪深300ETF,4.663,0.89,4.4,2025-09-24
10008894,科创50沽9月1300,0.0001,0.0,1.3,15.04,科创50ETF,1.53,3.73,1.3,2025-09-24
10008806,50ETF沽9月2600,0.0001,0.0,2.6,15.37,上证50ETF,3.072,0.59,2.6,2025-09-24
10009725,50ETF购9月3300,0.0001,0.0,3.3,7.43,上证50ETF,3.072,0.59,3.3,2025-09-24
10009867,300ETF购9月5000,0.0001,0.0,5.0,7.23,沪深300ETF,4.663,0.89,5.0,2025-09-24
10008845,500ETF沽9月6250,0.0001,0.0,6.25,15.91,中证500ETF,7.432,2.13,6.25,2025-09-24
10008825,300ETF沽9月3912A,0.0001,0.0,3.912,16.11,沪深300ETF,4.663,0.89,3.912,2025-09-24
10009997,科创板50购9月1600,0.0001,0.0,1.6,7.03,科创板50ETF,1.495,3.68,1.6,2025-09-24
10009787,50ETF购9月3400,0.0001,0.0,3.4,10.68,上证50ETF,3.072,0.59,3.4,2025-09-24
10008826,300ETF沽9月4009A,0.0001,0.0,4.009,14.03,沪深300ETF,4.663,0.89,4.009,2025-09-24
10009811,50ETF购9月3500,0.0001,0.0,3.5,13.94,上证50ETF,3.072,0.59,3.5,2025-09-24
10009470,300ETF沽9月4100,0.0001,0.0,4.1,12.08,沪深300ETF,4.663,0.89,4.1,2025-09-24
10008808,50ETF沽9月2700,0.0001,0.0,2.7,12.11,上证50ETF,3.072,0.59,2.7,2025-09-24
10010031,科创50购9月1700,0.0001,0.0,1.7,11.12,科创50ETF,1.53,3.73,1.7,2025-09-24
10010023,300ETF购9月5250,0.0001,0.0,5.25,12.59,沪深300ETF,4.663,0.89,5.25,2025-09-24
10008804,50ETF沽9月2500,0.0001,0.0,2.5,18.62,上证50ETF,3.072,0.59,2.5,2025-09-24
10009467,300ETF沽9月3800,0.0001,0.0,3.8,18.51,沪深300ETF,4.663,0.89,3.8,2025-09-24
10008810,50ETF沽9月2800,0.0001,0.0,2.8,8.86,上证50ETF,3.072,0.59,2.8,2025-09-24
10008864,科创50沽9月1250,0.0001,0.0,1.25,18.31,科创50ETF,1.53,3.73,1.25,2025-09-24
10008828,300ETF沽9月4205A,0.0001,0.0,4.205,9.82,沪深300ETF,4.663,0.89,4.205,2025-09-24
10009468,300ETF沽9月3900,0.0001,0.0,3.9,16.37,沪深300ETF,4.663,0.89,3.9,2025-09-24
10008896,50ETF沽9月2900,0.0001,0.0,2.9,5.6,上证50ETF,3.072,0.59,2.9,2025-09-24
10008807,50ETF沽9月2650,0.0001,0.0,2.65,13.74,上证50ETF,3.072,0.59,2.65,2025-09-24
10009235,300ETF购12月3423A,1.198,-0.08,3.423,-0.9,沪深300ETF,4.663,0.89,4.621,2025-12-24
10009257,500ETF购12月5750,1.5177,-0.61,5.75,-2.21,中证500ETF,7.432,2.13,7.268,2025-12-24
10009319,科创板50购12月800,0.637,-0.78,0.8,-3.88,科创板50ETF,1.495,3.68,1.437,2025-12-24
10009256,500ETF购12月5500,1.758,-1.07,5.5,-2.34,中证500ETF,7.432,2.13,7.258,2025-12-24
10009238,300ETF购12月3716A,0.8959,-1.11,3.716,-1.1,沪深300ETF,4.663,0.89,4.612,2025-12-24
10009240,300ETF购12月3912A,0.6976,-1.75,3.912,-1.15,沪深300ETF,4.663,0.89,4.61,2025-12-24
10009897,50ETF购10月3500,0.0053,-1.85,3.5,14.1,上证50ETF,3.072,0.59,3.505,2025-10-22
10009307,500ETF购12月4800,2.43,-1.9,4.8,-2.72,中证500ETF,7.432,2.13,7.23,2025-12-24
10009254,500ETF购12月5000,2.2318,-1.99,5.0,-2.69,中证500ETF,7.432,2.13,7.232,2025-12-24
10009474,300ETF购12月3600,1.0007,-2.08,3.6,-1.34,沪深300ETF,4.663,0.89,4.601,2025-12-24
10009690,科创50购3月1000,0.4633,-2.46,1.0,-4.36,科创50ETF,1.53,3.73,1.463,2026-03-25
10009707,科创板50购3月950,0.4789,-2.66,0.95,-4.42,科创板50ETF,1.495,3.68,1.429,2026-03-25
10009255,500ETF购12月5250,1.9721,-2.71,5.25,-2.82,中证500ETF,7.432,2.13,7.222,2025-12-24
10009253,500ETF购12月4900,2.3101,-2.81,4.9,-2.99,中证500ETF,7.432,2.13,7.21,2025-12-24
10009687,科创50购3月850,0.606,-3.04,0.85,-4.84,科创50ETF,1.53,3.73,1.456,2026-03-25
10009688,科创50购3月900,0.5563,-3.25,0.9,-4.82,科创50ETF,1.53,3.73,1.456,2026-03-25
10009689,科创50购3月950,0.5069,-3.45,0.95,-4.78,科创50ETF,1.53,3.73,1.457,2026-03-25
10009289,科创板50购12月850,0.5715,-3.46,0.85,-4.92,科创板50ETF,1.495,3.68,1.422,2025-12-24
10009816,50ETF沽3月3500,0.453,-3.51,3.5,0.81,上证50ETF,3.072,0.59,3.047,2026-03-25
10009814,50ETF沽12月3500,0.4334,-3.69,3.5,0.18,上证50ETF,3.072,0.59,3.067,2025-12-24
10009708,科创板50购3月1000,0.4257,-3.69,1.0,-4.64,科创板50ETF,1.495,3.68,1.426,2026-03-25
10009673,500ETF购3月6250,0.9848,-4.11,6.25,-2.65,中证500ETF,7.432,2.13,7.235,2026-03-25
10009812,50ETF沽9月3500,0.4309,-4.12,3.5,0.09,上证50ETF,3.072,0.59,3.069,2025-09-24
10009280,科创50沽12月850,0.0022,-4.35,0.85,44.59,科创50ETF,1.53,3.73,0.848,2025-12-24
10010030,300ETF沽3月5250,0.6964,-4.42,5.25,2.35,沪深300ETF,4.663,0.89,4.554,2026-03-25
10009705,科创板50购3月850,0.5654,-4.49,0.85,-5.32,科创板50ETF,1.495,3.68,1.415,2026-03-25
10009792,50ETF沽3月3400,0.3668,-4.5,3.4,1.26,上证50ETF,3.072,0.59,3.033,2026-03-25
10009906,50ETF沽10月3500,0.4288,-4.61,3.5,0.03,上证50ETF,3.072,0.59,3.071,2025-10-22
10009650,50ETF沽3月3200,0.2237,-4.73,3.2,3.12,上证50ETF,3.072,0.59,2.976,2026-03-25
10009709,科创板50购3月1050,0.3733,-4.77,1.05,-4.8,科创板50ETF,1.495,3.68,1.423,2026-03-25
10009788,50ETF沽9月3400,0.3315,-5.15,3.4,0.11,上证50ETF,3.072,0.59,3.069,2025-09-24
10009790,50ETF沽12月3400,0.3446,-5.15,3.4,0.54,上证50ETF,3.072,0.59,3.055,2025-12-24
10009649,50ETF沽3月3100,0.1653,-5.16,3.1,4.47,上证50ETF,3.072,0.59,2.935,2026-03-25
10009697,科创50沽3月900,0.0091,-5.21,0.9,41.77,科创50ETF,1.53,3.73,0.891,2026-03-25
10009730,50ETF沽3月3300,0.2916,-5.48,3.3,2.07,上证50ETF,3.072,0.59,3.008,2026-03-25
10010028,300ETF沽12月5250,0.6386,-5.55,5.25,1.11,沪深300ETF,4.663,0.89,4.611,2025-12-24
10010024,300ETF沽9月5250,0.5965,-5.56,5.25,0.2,沪深300ETF,4.663,0.89,4.654,2025-09-24
10009642,50ETF沽3月2700,0.0317,-5.65,2.7,13.14,上证50ETF,3.072,0.59,2.668,2026-03-25
10009728,50ETF沽12月3300,0.2629,-5.67,3.3,1.14,上证50ETF,3.072,0.59,3.037,2025-12-24
10009905,50ETF沽10月3400,0.3301,-5.82,3.4,0.07,上证50ETF,3.072,0.59,3.07,2025-10-22
10009643,50ETF沽3月2750,0.04,-5.88,2.75,11.78,上证50ETF,3.072,0.59,2.71,2026-03-25
10009672,500ETF购3月6000,1.196,-6.34,6.0,-3.18,中证500ETF,7.432,2.13,7.196,2026-03-25
10009244,300ETF沽12月3423A,0.0029,-6.45,3.423,26.65,沪深300ETF,4.663,0.89,3.42,2025-12-24
10009872,300ETF沽3月5000,0.4948,-6.64,5.0,3.38,沪深300ETF,4.663,0.89,4.505,2026-03-25
10010026,300ETF沽10月5250,0.595,-6.78,5.25,0.17,沪深300ETF,4.663,0.89,4.655,2025-10-22
10009824,300ETF沽3月4900,0.4225,-6.94,4.9,3.98,沪深300ETF,4.663,0.89,4.478,2026-03-25
10009726,50ETF沽9月3300,0.2312,-7.07,3.3,0.1,上证50ETF,3.072,0.59,3.069,2025-09-24
10009281,科创50沽12月900,0.0026,-7.14,0.9,41.35,科创50ETF,1.53,3.73,0.897,2025-12-24
10009647,50ETF沽3月2950,0.0943,-7.19,2.95,7.04,上证50ETF,3.072,0.59,2.856,2026-03-25
10009648,50ETF沽3月3000,0.1144,-7.44,3.0,6.07,上证50ETF,3.072,0.59,2.886,2026-03-25
10009904,50ETF沽10月3300,0.2326,-7.59,3.3,0.15,上证50ETF,3.072,0.59,3.067,2025-10-22
10009644,50ETF沽3月2800,0.0493,-7.68,2.8,10.46,上证50ETF,3.072,0.59,2.751,2026-03-25
10009483,300ETF沽12月3600,0.0048,-7.69,3.6,22.9,沪深300ETF,4.663,0.89,3.595,2025-12-24
10009669,500ETF购3月5250,1.8632,-8.08,5.25,-4.29,中证500ETF,7.432,2.13,7.113,2026-03-25
10009800,300ETF沽3月4800,0.3557,-8.09,4.8,4.69,沪深300ETF,4.663,0.89,4.444,2026-03-25
10009696,科创50沽3月850,0.0067,-8.22,0.85,44.88,科创50ETF,1.53,3.73,0.843,2026-03-25
10010046,科创板50沽3月1650,0.3246,-8.23,1.65,11.34,科创板50ETF,1.495,3.68,1.325,2026-03-25
10009624,50ETF沽12月3200,0.1836,-8.34,3.2,1.81,上证50ETF,3.072,0.59,3.016,2025-12-24
10009670,500ETF购3月5500,1.6284,-8.36,5.5,-4.09,中证500ETF,7.432,2.13,7.128,2026-03-25
10009646,50ETF沽3月2900,0.0761,-8.42,2.9,8.08,上证50ETF,3.072,0.59,2.824,2026-03-25
10009228,50ETF沽12月2600,0.0087,-8.42,2.6,15.65,上证50ETF,3.072,0.59,2.591,2025-12-24
10009870,300ETF沽12月5000,0.4151,-8.51,5.0,1.67,沪深300ETF,4.663,0.89,4.585,2025-12-24
10009645,50ETF沽3月2850,0.0613,-8.64,2.85,9.22,上证50ETF,3.072,0.59,2.789,2026-03-25
10009764,300ETF沽3月4700,0.297,-8.7,4.7,5.58,沪深300ETF,4.663,0.89,4.403,2026-03-25
10009320,科创板50沽12月800,0.002,-9.09,0.8,46.62,科创板50ETF,1.495,3.68,0.798,2025-12-24
10009246,300ETF沽12月3618A,0.005,-9.09,3.618,22.52,沪深300ETF,4.663,0.89,3.613,2025-12-24
10009671,500ETF购3月5750,1.3872,-9.16,5.75,-3.97,中证500ETF,7.432,2.13,7.137,2026-03-25
10009498,50ETF沽12月3100,0.1218,-9.17,3.1,3.05,上证50ETF,3.072,0.59,2.978,2025-12-24
10009992,科创50沽12月1650,0.2492,-9.25,1.65,8.44,科创50ETF,1.53,3.73,1.401,2025-12-24
10009229,50ETF沽12月2650,0.0107,-9.32,2.65,14.09,上证50ETF,3.072,0.59,2.639,2025-12-24
10009822,300ETF沽12月4900,0.3415,-9.63,4.9,2.24,沪深300ETF,4.663,0.89,4.559,2025-12-24
10009699,科创50沽3月1000,0.0177,-9.69,1.0,35.8,科创50ETF,1.53,3.73,0.982,2026-03-25
10009668,300ETF沽3月4600,0.242,-9.7,4.6,6.54,沪深300ETF,4.663,0.89,4.358,2026-03-25
10010038,科创50沽3月1700,0.3347,-9.78,1.7,10.76,科创50ETF,1.53,3.73,1.365,2026-03-25
10009247,300ETF沽12月3716A,0.0073,-9.88,3.716,20.47,沪深300ETF,4.663,0.89,3.709,2025-12-24
10009485,300ETF沽12月3800,0.01,-9.91,3.8,18.72,沪深300ETF,4.663,0.89,3.79,2025-12-24
10009667,300ETF沽3月4500,0.196,-10.09,4.5,7.7,沪深300ETF,4.663,0.89,4.304,2026-03-25
10009995,科创50沽3月1600,0.2623,-10.14,1.6,12.57,科创50ETF,1.53,3.73,1.338,2026-03-25
10009868,300ETF沽9月5000,0.3421,-10.19,5.0,0.11,沪深300ETF,4.663,0.89,4.658,2025-09-24
10009716,科创板50沽3月950,0.0149,-10.24,0.95,37.45,科创板50ETF,1.495,3.68,0.935,2026-03-25
10009714,科创板50沽3月850,0.007,-10.26,0.85,43.61,科创板50ETF,1.495,3.68,0.843,2026-03-25
10009756,300ETF沽3月3700,0.0215,-10.42,3.7,21.11,沪深300ETF,4.663,0.89,3.679,2026-03-25
10009798,300ETF沽12月4800,0.2727,-10.53,4.8,2.91,沪深300ETF,4.663,0.89,4.527,2025-12-24
10009308,500ETF沽12月4800,0.0059,-10.61,4.8,35.49,中证500ETF,7.432,2.13,4.794,2025-12-24
10009996,科创50沽3月1650,0.298,-10.62,1.65,11.63,科创50ETF,1.53,3.73,1.352,2026-03-25
10010036,科创50沽12月1700,0.2792,-10.66,1.7,7.14,科创50ETF,1.53,3.73,1.421,2025-12-24
10010006,科创板50沽3月1600,0.2815,-10.72,1.6,11.81,科创板50ETF,1.495,3.68,1.319,2026-03-25
10009666,300ETF沽3月4400,0.1562,-10.74,4.4,8.99,沪深300ETF,4.663,0.89,4.244,2026-03-25
10009864,科创板50沽3月1500,0.2169,-10.89,1.5,14.17,科创板50ETF,1.495,3.68,1.283,2026-03-25
10009230,50ETF沽12月2700,0.0139,-10.9,2.7,12.56,上证50ETF,3.072,0.59,2.686,2025-12-24
10009661,300ETF沽3月3900,0.04,-10.91,3.9,17.22,沪深300ETF,4.663,0.89,3.86,2026-03-25
10009318,50ETF沽12月3000,0.0742,-10.92,3.0,4.76,上证50ETF,3.072,0.59,2.926,2025-12-24
10009312,50ETF沽12月2950,0.056,-10.97,2.95,5.79,上证50ETF,3.072,0.59,2.894,2025-12-24
10009980,300ETF沽10月5000,0.3541,-11.01,5.0,0.37,沪深300ETF,4.663,0.89,4.646,2025-10-22
10009888,科创板50沽3月1550,0.2476,-11.03,1.55,12.88,科创板50ETF,1.495,3.68,1.302,2026-03-25
10009664,300ETF沽3月4200,0.0937,-11.1,4.2,11.94,沪深300ETF,4.663,0.89,4.106,2026-03-25
10009298,科创板50沽12月850,0.0024,-11.11,0.85,43.3,科创板50ETF,1.495,3.68,0.848,2025-12-24
10009715,科创板50沽3月900,0.0103,-11.21,0.9,40.49,科创板50ETF,1.495,3.68,0.89,2026-03-25
10009778,科创板50沽3月1350,0.1307,-11.21,1.35,18.44,科创板50ETF,1.495,3.68,1.219,2026-03-25
10009662,300ETF沽3月4000,0.0537,-11.24,4.0,15.37,沪深300ETF,4.663,0.89,3.946,2026-03-25
10009740,科创板50沽3月1300,0.1086,-11.35,1.3,20.31,科创板50ETF,1.495,3.68,1.191,2026-03-25
10009717,科创板50沽3月1000,0.0215,-11.52,1.0,34.55,科创板50ETF,1.495,3.68,0.979,2026-03-25
10009863,科创板50沽3月1450,0.1856,-11.53,1.45,15.42,科创板50ETF,1.495,3.68,1.264,2026-03-25
10009991,科创50沽12月1600,0.207,-11.58,1.6,8.95,科创50ETF,1.53,3.73,1.393,2025-12-24
10009784,科创50沽3月1400,0.1402,-11.6,1.4,17.66,科创50ETF,1.53,3.73,1.26,2026-03-25
10009665,300ETF沽3月4300,0.1207,-11.64,4.3,10.37,沪深300ETF,4.663,0.89,4.179,2026-03-25
10009262,500ETF沽12月4900,0.0067,-11.84,4.9,34.16,中证500ETF,7.432,2.13,4.893,2025-12-24
10009660,300ETF沽3月3800,0.029,-11.85,3.8,19.13,沪深300ETF,4.663,0.89,3.771,2026-03-25
10009880,科创50沽3月1550,0.2277,-11.88,1.55,13.58,科创50ETF,1.53,3.73,1.322,2026-03-25
10009233,50ETF沽12月2850,0.031,-11.93,2.85,8.24,上证50ETF,3.072,0.59,2.819,2025-12-24
10009700,科创50沽3月1050,0.0247,-12.1,1.05,32.99,科创50ETF,1.53,3.73,1.025,2026-03-25
